job_title,job_title
CIMD - Marcus by Goldman Sachs - Decision and Data Scientist,1
COMPUTER ENGINEER (DATA SYSTEMS) (DATA SCIENTIST),1
CWMD Data Scientist,1
Campus: Data Scientist (2019 Start),1
Candidate Identified: Senior Data Scientist - Technology,1
Capital Data Scientist,1
Celonis Data Scientist,1
"Center of Excellence (COE) Data Scientist, Strategic Procurement",6
Cheminformatics/Data Scientist - Discovery Chemistry,2
Chemometrician/Chemical Data Scientist,7
Chief Data Scientist,30
Chief Data Scientist - Consumer Lending,5
"Chief Data Scientist - Federal $160,000 - 220,000",1
Chief Data Scientist - Upstream Digital,1
Chief Data Scientist AI,1
"Chief Data Scientist- Raleigh, NC!",1
Chief Data Scientist- SAS Partner!,1
Chief Data Scientist/ Autonomous Systems/ Druid/ Sunnyvale,1
Child and Family Health Data Scientist Student Worker - Student Worker Para Professional Senior,3
Chubb Global Risk Advisors: Data Scientist Consultant,1
Chubb Global Risk Advisors\: Data Scientist Consultant,1
Citizen Data Scientist,3
Cleared Data Scientist,1
Cleared Sr. Data Scientist,1
Client Facing Data Scientist,1
Client Facing Data Scientist - Philadelphia - 150K+,1
"Client Facing Data Scientist - Philadelphia,PA - $170K+",1
Client Facing Data Scientist - Python / Machine Learning,1
Client-Facing Applied Data Scientist,3
Clinical Data Analyst / Data Scientist,1
Clinical Data Scientist,32
Clinical Data Scientist & Analyst,2
Clinical Data Scientist (Manager),10
Clinical Data Scientist (Manager) [Mandarin proficiency preferred],3
Clinical Data Scientist - Provider Performance,6
"Clinical Data Scientist - Provider Performance in Bellingham, WA",1
Clinical Pharmacology Data Scientist,1
Clinical Research Data Scientist,2
Cloud Data Scientist,3
Cognitive Data Scientist,1
Cognitive Data Scientist (667342),1
Cognitive Data Scientist (668388),1
Cognitive/Machine Learning - Data Scientist,2
Complex Systems Data Scientist (Early/Mid-Career),2
Computational Biologist / Bioinformatics Data Scientist,1
Computational Biologist / Bioinformatics Data Scientist - Nutrition and Technology Solutions,1
Computational Biologist/Data Scientist,1
Computer Programmer/Data Scientist,1
